
---------- Begin Simulation Statistics ----------
simSeconds                                   0.134395                       # Number of seconds simulated (Second)
simTicks                                 134394500000                       # Number of ticks simulated (Tick)
finalTick                                134394500000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    470.08                       # Real time elapsed on the host (Second)
hostTickRate                                285897536                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     730536                       # Number of bytes of host memory used (Byte)
simInsts                                     64792949                       # Number of instructions simulated (Count)
simOps                                       66454862                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   137834                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     141369                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        134394501                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.074215                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.482110                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        99163386                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6095                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       81659144                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  24976                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             32714618                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          91948277                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 308                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           134315144                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.607967                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.251456                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  99771356     74.28%     74.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12740115      9.49%     83.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8017063      5.97%     89.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6112025      4.55%     94.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4924091      3.67%     97.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1867201      1.39%     99.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    719058      0.54%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    111769      0.08%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     52466      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             134315144                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   14275      0.54%      0.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.54% # attempts to use FU when none available (Count)
