
---------- Begin Simulation Statistics ----------
simSeconds                                   0.139659                       # Number of seconds simulated (Second)
simTicks                                 139659324000                       # Number of ticks simulated (Tick)
finalTick                                139659324000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    429.39                       # Real time elapsed on the host (Second)
hostTickRate                                325250793                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     711436                       # Number of bytes of host memory used (Byte)
simInsts                                     64792949                       # Number of instructions simulated (Count)
simOps                                       66454862                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   150895                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     154766                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        139659388                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.155472                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.463936                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        99187055                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6097                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       81659877                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  25625                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             32738289                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          92114609                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 310                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           139573349                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.585068                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.231800                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 104955655     75.20%     75.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12824693      9.19%     84.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8029488      5.75%     90.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6102615      4.37%     94.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4920088      3.53%     98.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1866721      1.34%     99.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    716456      0.51%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    105394      0.08%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     52239      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             139573349                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   13597      0.52%      0.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.52% # attempts to use FU when none available (Count)
