
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004860                       # Number of seconds simulated (Second)
simTicks                                   4859796000                       # Number of ticks simulated (Tick)
finalTick                                  4859796000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     22.42                       # Real time elapsed on the host (Second)
hostTickRate                                216715065                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681912                       # Number of bytes of host memory used (Byte)
simInsts                                      6116263                       # Number of instructions simulated (Count)
simOps                                        6116441                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   272744                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     272752                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          4859797                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.794570                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.258543                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         6234250                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    16650                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        6198682                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    543                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               134458                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             92259                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 240                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             4830089                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.283347                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.477255                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1766207     36.57%     36.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1586899     32.85%     69.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    608841     12.61%     82.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    424296      8.78%     90.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    244639      5.06%     95.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    109759      2.27%     98.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     48856      1.01%     99.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     24010      0.50%     99.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     16582      0.34%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               4830089                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    8498      5.94%      5.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1587      1.11%      7.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      86      0.06%      7.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      7.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      7.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      7.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 1545      1.08%      8.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             27715     19.39%     27.58% # attempts to use FU when none available (Count)
