
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004919                       # Number of seconds simulated (Second)
simTicks                                   4918667000                       # Number of ticks simulated (Tick)
finalTick                                  4918667000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     22.38                       # Real time elapsed on the host (Second)
hostTickRate                                219736156                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     687032                       # Number of bytes of host memory used (Byte)
simInsts                                      6116263                       # Number of instructions simulated (Count)
simOps                                        6116441                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   273237                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     273244                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          4918668                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.804195                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.243480                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         6398431                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    16656                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        6279394                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    837                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               298645                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            234160                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 246                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             4888240                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.284592                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.480190                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1803567     36.90%     36.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1584901     32.42%     69.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    609700     12.47%     81.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    428886      8.77%     90.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    258594      5.29%     95.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    116152      2.38%     98.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     46290      0.95%     99.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     25641      0.52%     99.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     14509      0.30%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               4888240                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    8341      5.52%      5.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1620      1.07%      6.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     139      0.09%      6.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 1196      0.79%      7.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             27705     18.32%     25.80% # attempts to use FU when none available (Count)
