
---------- Begin Simulation Statistics ----------
simSeconds                                   0.094898                       # Number of seconds simulated (Second)
simTicks                                  94898257000                       # Number of ticks simulated (Tick)
finalTick                                 94898257000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    365.66                       # Real time elapsed on the host (Second)
hostTickRate                                259525290                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     675116                       # Number of bytes of host memory used (Byte)
simInsts                                     68592618                       # Number of instructions simulated (Count)
simOps                                       68594058                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   187585                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     187589                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         94898258                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.383505                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.722802                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       103095362                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6841                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       91283708                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  44334                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             34508144                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          19583958                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 745                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            94841771                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.962484                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.517107                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  57447507     60.57%     60.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  14009765     14.77%     75.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7917398      8.35%     83.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6351829      6.70%     90.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4762646      5.02%     95.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3215720      3.39%     98.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    778336      0.82%     99.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    284100      0.30%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     74470      0.08%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              94841771                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   30456      1.59%      1.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     96      0.01%      1.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       6      0.00%      1.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      1.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      1.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      1.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      1.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      1.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      1.59% # attempts to use FU when none available (Count)
